komentar;value
Untuk developer nya ini tolong di benerin lagi untuk gyro nya, padahal saya sudah ngaktifin gyro nya tapi gyro nya ngebug kyk no gyro gitu loh terus udah ak restart HP nya mau lihat hasil nya sama apa nggk tpi hasilnya sama;2
Ini knp ya min setelah update kok antialiasing nya bug padahal udah 4x antialiasing sebelum nya bisa seakarang kok gabisa udh di ganti ke 4x tetep burik;2
GAME INI SERU BANGET, ada banyak mode, graphic oke, skin baju dan set bundle nya oke oke, senjatanya jg mantap, game yang selalu nemenin saya saat saya bosen, cocok untuk ngisi bosen karena bisa main bareng ber 4 sama teman teman.;5
Saya mau sampaikan kepada depelover pubgm Kenapa setiap mau masuk jendela kok kepental ya,trus tiba2 ngestack GK bisa nembak+GK bisa lari l,tolong periksa map vikendi lokasi di coolmain beberapa bangunannya ngebug tembus pandang ini sangat merugikan player dikarenakan tembus peleru dimohon untuk depelover game pubgm dibenahi lagi supaya gamenya bisa nyaman untuk dimainkan, karena masih banyak bug dalam game ini yg merugikan playernya sekian dan terima kasih;1
Habis uodate terbaru 2.9 tetap terjadi bug di poco f5 di setiap awal match banyaj tombol berpindah posisi terus padahal di pengaturan sdh di save dan mohon segera di perbaiki karna mengganggu sekali;2
Setelah update 2.9 ada bug dimana saat game play (tdm, battle royale, cheer park) tombol tidak bisa di tekan. Seperti berubah tempat tombolnya, mohon diperhatikan.;1
"Kenapa selalu ngefream ga karuan saat lagi WAR di event yang baru ini...dan tau tau signal langsung down ping langsung naik ke 200an,padahal signal bagus""aja.. Tolong di perbaiki lah..jangan bikin Para player kecewa,dan lari ke lain hati. terimakasih";3
Dear develop, tolong perbaiki bug rto saat di room maupun in game.seperti saat in game di room tidak dapat mendengar ataupun berbicara dengan rekan tim. Padahal mic saat in game sudah aktif, bisa berkomunikasi dengan rekan tim saat in game tetapi hanya melalui mic all;4
Setelah update terbaru malah lemot, padahal jaringan bagus, malah dapet peringatan jaringan tidak stabil, tolong diperbaiki masalah yang ada;3
Setelah update banyak sekali bug bug seperti bug mic yg sudah on mic tapi tidak masu suara teman ataupun saya.tolong bug satu ini cepat di urus karena ini bug yg merugikan team. Entah ini dari sinyal atau dari game nya langsung;5
setelah di update malah ga bisa login, nge stuck, padahal jaringan bagus, ini gimana si bukannya lebih bagus malah rusak. sebelum update aman2 aja;2
"gamenya sudah bagus tapiii di saat matchching itu lawannya tidak adil, saya heran kenapa setiap game battle royal pasti ini aja penyakitnya, kenapa tidak bisa di setarakan dengan rank saja, saya diamond bermain solo kedapatan musuh rank ""ace"" itu bagaimana? sangat tidak masuk akal dan itu sudah saya jumpai berkali kali dan saya sudah melapor ke dalam gamenya dan tanggapan yang di berikan sangat aneh dan tidak membantu sama sekali jadi tolong dalam hal ini, di perbaiki saya juga ingin naik rank??";1
Banyak bug saat turun di istana es, misal gk bisa masuk pintu padahal udah dibuka, penggantian senjata slow respon banget, saat dari lobi sering telat naik pesawat;2
Masih ada BUG, bugnya tiba tiba malah jalannya lambat dan tidak bisa lari, padahal sudah kita atur buat lari. Padahal hp nya saya memadai iPhone 13;3
Tolong lah saya masih mengalami namanya yaitu frame drop di event 2.9 yg terbaru dan saya ketika turun di event selalu mendapatkan 30 fps, tolong lah tambahkan 90 fps di hp infinix hot 12;3
Bug nya berkali kali,lompat dari pesawat belum kelihatan rumahnya,nunggu 3 sampai 4 detik baru keliatan,kalau di event rame pasti mati konyol,ga nyaman sekali,tolong di perbaiki ngebugnya,;1
Min saya main di ram 3 minta solusinya supaya bisa lancar, karna main pubg Lite aplikasinya sering keluar sendiri dan sinyal sering drop, tolooooong ya min bantuannya buat ram 3 :(;5
Saya kecewa dengan pubg baru saja saya uninstal karna setelah masuk ke game gambarnya seperti 8 bit selalu setiap update ada saja kesalahan yg membuat player sangat kecewa;1
Terlalu parah bug nya Setelah update semua tombol ketika kombat kotak tombol dengan icon geser semua dan ga bisa tekan dengan semestinya Ga bisa main jadi Tolong segera di perbaiki;1
1.Kendala untuk ping sering tidak stabil padahal jaringan bagus + 20ms tapi peak kanan kiri lemot serasa ping 100ms an 2.bug suara step 3.suara temen atau mic kita tidak berfungsi padahal semua di aktifkan 4.bug damage/cheat (musuh kena headshot 3 kali tidak knock- malah kita yg knock yg cuma kena badan) 5.lari sprint sering terjadi bug dan alhasil jalan kaya bot 6.habis mati dr event hidup lagi tapi teman atau musuh tidak terlihat + tidak bisa looting seperti season2 yg lalu ....DLL;3
Event nya makin lama makin gak seru, skin nya udah kayak mainan, selama pubg masih di pegang Tencent pubg masih seru dan masih realistis, untuk ke depannya lebih baik buat skin nya jangan seperti mainan lagi;1
Setelah update terjadi banyak bug. Apalagi kalau main di map livik. Ngebug ga bisa lari, layar hitam. Padahal koneksi internet lancar. Tolong perbaiki bug-bug yang terjadi;1
selalu pada permasalahan yg sama,setiap kali habis update slow respon terus,jaringan aman,paket data juga aman,makin kesini masalah makin kesana;1
Game buruk, control udah si save tapi berubah sendiri ketika keluar dari game, dan juga tidak bisa mengetik pesan, banyakin event tapi bug tidak di perbaiki sangat mengecewakan.;1
Fakyou .kamu telah kembali kemenu utama.karna kamu terlalu lama mendiamkan layar.kecewa sekali saya game selama ini yang saya puji sangat bagus.sekarang ini game bukan bagus lagi.sering keluar sendiri .gak bisa gerak.lalu masuk lagi.loading lama sekali.tiba2 pas Udah masuk.itu jawabanya telah kembali kemenu utama .dasar game sampah.;1
saya sebagai player old ingin memberi masukan dan sedikit saran ke pubg mobile, tolong untuk kedepan nya lebih diperhatikan lagi masalah jaringan.... aku juga ingin request next update pubg collab dengan ferrari;3
Tolong bug fps di perbaiki, awal game lancar 60 fps tapi setelah itu fps nya kayak 40-30 gitu,harus di setel ulang di pengaturan grafis baru kembali normal 60 fps;1
Menurut saya gamesnya bagus Tampilan dan grafik nya bagus dah hd(mohon di pertahankan (100/100) Untuk bettel royal nya saya suka (80/100) Untuk event netral lah(50/100) Untuk penguduhan data gamenya bisa gak di jadi kan satu biyar mudah(Saya dah unduh data game nya terus buka shop unduh lagi buat skin senjata dan bajunya event juga gitu)(60/100) Komplain saya pada game ini yaitu saya kan masuk server asia setiap jam 22.00 keatas selalu server tidak merespon dan pas saya main paginya aman;5
Tolonglah hapus mode arcade yang banyak memakan storage. Seperti metro royale yang menurutku tidak banyak orang main, lalu fitur club menurutku tidak harus ada. Karena anda bisa collab ama tiktok dan youtube. Saranku buat aplikasi baru lagi jika ingin mempertahankan gameplay metro royale dan arcade yang cukup memakan storage dan buat komunitas di aplikasi sendiri. Jangan jadi satu dalam game pubg mobile.;3
Makin gak beres lgi pubg ini skrang. Jaringn terputus lah koneksi tidak bisa lah. Lama lama semakin sulit pubg ini. Masalah bug pun gak teratasi percuma org pintar yg kelola pubg ini. Koneksi tidak terhubung apa sih masalah nya kalo lancarkan.;3
Setelah update banyak bug nya ! Login susah apk game berat alasan mentok di sinyal lah apalah ! Kacau neh , gimana mau main dengan tenang di event ini;1
Dari 2020 sampe sekarang, baru kali ini nge bug parah, sampe gabisa masuk ke pubg nya, gabisa di pencet2 apapun, padahal kapasitas memori Oke, jaringan juga oke, tp kenapa nge bug parah sampe gabisa di mainin sama sekali? ??;2
Sudah download data 13GB,tetapi item2 seperti baju, emot, senjata dll masih harus didownload manual. Waktu di ingame pun sama saja, musuh terlihat tanpa skin, ini membuat sangat tidak nyaman. Perangkat saya adalah HUAWEI NOVA 5T / YAL-L21. Mohon solusinya.;2
Pubg sekarang kebanyakan Bug nya. Kadang nggak bisa nembak, kadang karakternya berhenti sendiri pas lagi jalan... Di tambah koneksi ke Server nya mulai kgak jelas... Barusan gue main tiba2 aja keluar sendiri terus katanya server tidak merespon... Tolong lah PUBG perbaiki... Masih banyak player yg suka main PUBG... Jangan sampai gra2 Bug kgak jelas gini akhirnya Pelan2 player PUBG pensiun...;4
Dear developer, jangan fokus ke event event terus tapi bug juga diurusin. game udah bagus tapi masih banyak bug seperti bug sinyal, bug damage ga masuk ke musuh yang kadang bikin mati konyol, padahal device sudah cukup mendukung. Semoga update selanjutnya ga cuma fokus ngurusin collabs event, tapi fokus ngurusin bug bug yang merugikan pemain.;2
Gausah banyak menghina. Hp kalian aja yg jadul makanya banyak BUG, lag, dan apalah segala macem. Klo mau main nya lancar mending main HAGO aja sana gausah gaya main game yg size RAM gede. Gua main pake xiaomi redmi 7 ram 3 aja udh enak main PUBG sama ML lancar2 aja tuh. Tencent good job ?? terus berkembang.;5
Gamenya bagus, tapi device aku tdk sanggup memainkan nya dengan lancar walau di setting rata kiri, semoga update selanjutnya akan mengurangi frame drop pada device kentang;4
Kok stlah up trbaru skrg jd sring force close trz ya pas mw in game? Pdhal mmory jg msh bnyak? Tp sring force close sndiri jd g nyaman Updatenya kbanyakan skin + event2 gk jelaas jdi bkin memory bnyk aja,,,tp game msh banyk bug nya Mndg update yg penting2 aja sprti prbaiki bug sma jaringan biar para gamer gk ksulitan buat maen,;1
Game ini makin aneh.. Server tidak merespon, suara tiba tiba hilang di in game.. Kalo memang belum mampu untuk update.. Jangan paksa dulu.. Akhirnya kami player yg bermain dari awal season pubg.. Terganggu sekali dan tidak nyaman sekali;5
Jika pada pointblank ada map indonesia saya harap pbg pun mengada kan MAP BENTUK INDONESIA dengan skala map yang du perkecil tambah kan senjata baru bambu runcing dan panah... Namun panah itu di hitung sebagai Slot bar senjata pistol agar tidak merugikan slot senjata jauh dan dekat;5
#PUBGMOBILE makin payah, aku setiap login selalu gagal server. kalau di tanya masalah jaringan, aku pakai Telkomsel dan nggak mungkin jaringan Telkomsel eror. setiap selesai Update, PUBG sekarang makin payah.;1
ini gme kenap jadi jelek...susah sekali masuk pertempuran nya..apa ini game udah ga laku ...ya...susah cari lawan..klo emang jaringan jelek ,sy mohon untuk segera di atasi,jgn smpe rating nya jdi turun.;2
Setiap main suka Ter jadi bug seperti kontor yng lambat di tekan atau jaringan turun naik, setiap turun dimana pun pasti rumah selalu g keliatan dan karakter sendiri juga suka hilng,mohon untuk Dev bisa memecahkan masalah ini buat kmi yng hp kentang, KLO misalanya g bsa kmu mau kembali ke 2018 yng di mana grafiknya g terlalu berat tapi pandangannya lebih keren;3
update sekarang bikin susah download data, kadang suka ngestuck kalo download, dan error saat login tolong untuk dev nya diperbaiki segera mungkin!?;2
Sori rating saya turunin, tapi ini bukan game yang sama kaya game yang dulu lagi. Interface nya skrng ribet, semua update bukan makin mudah makin rumit. Di tambah event2 ga jelas, blom lagi skrng jualan sampah trus2an. Pubg skrng smuanya tentang bisnis. Vibesnya udh beda bngt skrng ini game.;1
Setelah di update versi terbaru, terimakasih sudah membuka fps ektremnya. Dan semoga berjalan dan tidak lag²an. Terimakasih;4
Nge bug nya makin parah, bug nga bisa nembak, bug nga bisa ganti senjata dan bug saat di mobil nga bisa keluar Padahal jaringan baik Di perbaikan lah bug yg sangat menganggu Pada hal update terbaru makin nga nyaman saat bermain;1
Bug parah bgt sinyal bagus tetep Lag. Kenapah sih ini min !!! Waktu event kemaren mah lancar² ajah ko. Kenapah skrg jadi kegini. Apalagi pass pakai wifi. Bacaanya tuh koneksi anda tidak stabil. Padahal ping nya bagus bgt pake game lain lancar jaya. Internet browsing juga lancar kenapah di apk ini malah Lemot !! Mohon segera di perbaiki Min.!!!;1
"apaan sih pubg ssekarang,habis update pasti suruh download semua dari awal...dari skin lah,map lah,pakaian"" semuanya...gajelas,kalo update yaa update aja...tinggal nambahin yang perlu di update,gausah download dari awal lagi kocakkk !!!!";1
wahhh,,, di update malah ngeFrame parah. masa ketemu 1 squad aja ngeFrame,kadang smpe AFK..Bug juga masih banyak. trs harus main gimna?? parah nihPUBG skrg .;1
Saya kasih bintang dua ,Game ini makin sini makin berat aja, mana banyak ngeframe2nya dan lag, sekarang yg mode zombie udah di update malah susah loginnya, main game ini kayanya di khususkan memakai IPHONE bukan untuk android biasa apa lagi hp ketang, jgn harap bisa main game ini lancar , jaringannya jg musti extra bagus, hilang signal satu bar aja bisa pengaruhi ke permainan yg lag atw frame atw buffering ga kelar2...;2
tolong developer untuk player yang menggunakan CHEAT seperti no recoil,auto aim,wall hack,speed run,tolong untuk di deteksi dan di BANNED selama lama nya;1
Kok sy udh updet kok nggak bisa masuk ya.. Malah di suruh download obb servis is running.. Bingung saya jadinya.. Tolong dong parah suhu bantuan nya;1
Update 2.9 di HUAWEI Nova 5T ngebug di kontrolnya, semua tombolnya membesar, tolong di perbaiki... Update: Problem fixed, Bintang 5...;5
Setiap abis update harus ngulang download skin baju,map,senjata dll, bikin males mau maen,apalagi download nya lemot padahal kalo apk lain lancar aja gaada kendala;1
Maaf sebelumnya... Buat Developer. Kami sangat menghargai dan sangat senang dengan pubg cmn tolong selesaikan dulu masalah Bug dlm game baru updatenya... Krn kita update trus tpi bug masih ada. Terimakasih????????????;3
Gameplay nya udh mantap, ada mode rank dan klasik nya juga, event nya tidak membosankan, tapi ada satu kekurangan, tolong tambahkan lagi hadiah untuk player f2p, harga top sangat mahal;5
Lepas di update kenapa tak bisa di buka langsung pubg mobile dan di suruh download obb baru bisa mohon saran nya dari pihak tencent Di game lain seperti pubg new state dan di pubg lite boleh di main kan , tapi kenapa di pubg mobile selepas di update langsung tak bisa masuk .;1
Tolong diperhatikan setelah update, karena ada beberapa bug yang sering dialami, contoh yang paling sering adalah pada kendaraan yang mendarat, sering masuk ke dalam tanah dan juga bisa membuat karakter melayang hingga jatuh dari ketinggian.. khususnya kendaraan buggy. Sekian terimakasih, mohon kerjasama developer.;4
Ini royal pass gak pernah ganti pa ya cuma ganti warna..senjata kendaraan hadeh itu itu aja kalo gak motor tiga buggy....ini mending yang buat di pecat aja dah kendaraan dan senjata gak itu itu aja kalo aku kasih tau paling yang buat gak tau.....;2
Knpa setelah di update ke versi yg baru lansung hilang data'nya. Aplikasi pubg mobile tdak bisa di buka atau di mainkan;1
Ini gimana kok saya gak bisa masuk ke akun saya lewat gmail padahal Gmail sama password nya bener kok gak bisa masuk Mala ada tulisan( gagal masuk , cobalagi 211);3
Sayang sekali ko sudah di perbarui ke versi terbaru tapi makin banyak BAG sama leg nya tolong perbaiki bag sama legnya jangan cuma versi nya saja yg baru tolong min;1
Taloang di bales ya,ceritanya kan saya lagi gaca di peti klasik,abis tu saya kan punya 5 kupon,saya coba spin 1 di tombol kupon,bukan di tombol UC, ternyata kuponnya gak berkurang,terus saya coba lagi ternyata juga ga berkurang,di percobaan ke tiga juga,akhirnya saya terus spin sampai dapet hadiah utama,masalahnya yaitu setelah selesai gaca UC saya berkurang banyak,saya minta bug nya yang ini di perbaiki lah biar tidak terjadi lagi dan saya juga hampir nangis Lo gara gara bugnya ini,terima kasih;1
mengapa setiap terjun dari parasut tidak ada gambarnya atau menunggu sekian detik baru normal dan tidak bisa mengambil senjata langsung.dan setiap kali mau menembak selalu kalah setengah detik dari musuh...karna setiap saya open scop pasto agak lambat.terima kasih;3
lebih baik perbaiki fps nya, agar grafik stabil, dari pada mementingkan event di device poco f4 saya sering lag, tdk merespon, tiba2 keluar game. padahal mode daya performa sudh aktif, ini masalah bukan device nya tapi in game. sebelum bisa bikin game performa nya stabil, alangkah baiknya event nya di tiadakan dulu. jangan cuma mencari keuntungan in game nya aja, pentingin juga player nya, dan di play store mnta update tp di getapps mi tidak, tlong jelaskan lebih stabil yg mana?;5
Game nya bagus cuma tiap kali bertemu musuh udh nembak kepala harusnya musuh mati dong tapi kok kebalikan plus nya tolong aku main kok pasti dapat musuh yang pro player kasih musuh yang seimbang lah satu lagi kenapa setiap main pasti ada jaringan leg padahal jaringan nya bagus bagus aja 300 mb tpi biasa nya kok keluar mulu jadi saran ku itu aja dan jangan lupa di perbaiki ydh segitu aja assalamu'alaikum;3
Intinya frame drop parah, udah pake SD 8gen 1 lo ini, msih aja parah frame drop nya. Udah pake kipas juga hp gak terlalu panas. Nyari untung apa lagi skrng nih game tanpa ada perbaikan.;1
Bug tanda rekan setim tidak tampil di atas kepala, tolong segera di perbaiki, karena sangat menganggu saat bermain, sehingga sering kali salah tembak dikira musuh ternyata teman setim;1
Saya main dari season 2 , tapi entah kenapa di akhir ini bnyk yg aneh, saya ganti hp poco F 5 , setelah itu saya setiap login mau main kontrol ny semua berubah , letak map ny , scop loncat pick ny . Poko ny setiap login lah berubah trus . Tolong di perbaiki itu bos ku .;5
Saran saya untuk mengemat memori penyimpanan, alangkah baiknya baju yg semakin banyak setiap gaca itu bisa di tukar dengan fragmen. Jadi memori penyimpanan lebih hemat, sekarang aplikasi pubg ini saja sudah mencapai 15gb lebih.. Kasian pemain yg mungkin ram hp nya cm sampe 4gb.. Mohon solusinya, krn skin baju banyak pun gak bnyak yg bisa d pakai atau kurang menarik bagi pemain termasuk saya.. Kurangnya minat pemain krn game pubg sudah makin besar ram yg di butuhkan..;1
Game-nya bagus tidak ada nge-bug sama sekali, tapi pass saya bersihkan sampah eh data dia juga ke hapus itu salah saya sendiri????, Tapi kalo ada becaan server tidak merespon itu sebab apa yh bang??, saya jadi bingung sendiri apa mungkin karna paketan saya atu emang dari versi asia apa begimana itu? Tolong di jawab bang, Terimakasih Oh yah satu lagi kalian yang mengalami lag atau sampah banyak itu karna dari hp kalian, ingat game Pubg itu berat GB-nya mknya rm hp klan hrs bsr jdi kuat,;5
Semakin banyak yang harus di download. Ada sekitar 7GB lebih file yg harus di download dan itu memakan waktu yang sangat panjang. Semakin sering lag untuk jenis handphone mid range.;3
Halo PUBG...saya mau download game ini lagi, karena kangen sih setelah sekian lama dri tahun 2019 pensi karena keadaan...semoga update kali ini bagus2 dan baik baik saja tanpa adanya kendala, btw saya mau kasih saran yaitu adakan kembali event pharaoh ya, karena the best soalnya,dan saya akan membuktikan ke player jaman skrg klo vibes jaman season 2 akan kembali;5
Di hp saya masih banyak bug² meresahkan, seperti tidak bisa lari, layar menjadi gelap, musuh bisa menghilang tolong pihak Tencent untuk mengfix bug² yang meresahkan, terimkasih;2
"Selalu error ketika masuk pubg padahal ada kuota dan selalu dengan alasan yang sama ""server did not respon"" Padahal tidak ada masalah dengan kuota ataupun server nya. Tolong segera di perbaiki saya ingin bermain sekarang";1
Masih suka main pubg cuma. Kebanyakan event gak perlu seperti metro royale, wow, dll... Itu membuat game semakin berat dan tidak stabil.. Sangat disayangkan dulu ini game populer sekarang sudah mulai berkuang peminatnya;1
game anying pas loading malah ke ulang mulu ?????????????????? pas nyoba lagi juga sama gak ada hasil pas mau main aja kek gini ada masalah lagi pas baru turun dan pas mau keluar tiba tiba musuh langsung nembak saya nah masalahnya itu dari mana musuhnya itu padahal suara stepnya ada tapi orang nya kek gak ada anying lah gamenya;1
Saya tidak terlalu tau banyak soal game, tapi menurut saya gamenya seru kok. Kalau bisa musim kedepannya ada Spiderman lagi !!! Edit 9 November 2023 : Saya merasa senang banyak update terbaru dari pubg mobile, meski pun tidak serame event yang lalu, tapi fitur terbaru pubg mobile belakangan ini sangat memuaskan. ?? Semangat terus buat pubg mobile.;5
Harusnya baju seson tidak boleh di beli bebas.. karna hanya itu yg menandakan player lama atau baru.. saya kecewa dengan tindakan ini. Saya harap ada tanda untuk setiap player. Mulai Season 1 sampai season saat ini. Tolong kabulkanlah. Karna itu sangat berharga bagi saya pemain lama.;1
Halo Devoleper, saya adalah penggemar berat geme PUBG MOBILE, saya sangat suka memainkannya. Saya ingin depolever menambah suara peluru melintas yang sangat-sangat mirip dengan aslinya. Dan itu keinginan saya hanya satu saja.;5
Thankyou papji udah nemenin gw selama 3 tahun, banyak sudah kenangan gw selama main papji, yang mulai awal gw ga main solo terus sampai banyak teman, yang awal main have fun sampai ngikutin beberapa tour online/offline, ya pada akhirnya gw harus fokus pada real life gw, ga kerasa ya waktu cepat berlalu, dan gw memutuskan untuk rehat dari dunia game rpg ini, thanks you and good luck.;5
Saya mengalami bug damage saat bermain rank di mana saat detik terakhir permainan saya menembak musuh 3 kali dan mengenai kepala 2 kali dan tubuh satu kali dan musuh tetap saja tidak knock saya menggunakan M24 dan karena hal itu saya gagal chiken;1
Game ini cukup bagus, tapi tolong yg para cheaters x di hack aja...biar gk bisa main lagi, mainnya yg sportif aja...Bug masih saja mengganggu, nge frame dan permainan tidak stabil;5
"Hei aku baru mainkan masih ada tower recall nah pas aku udah recall temen aku saat selanjutnya(udah mati mulai baru)nah itu udah ga ada kan jadi gabisa recall lagi itu kayak gimana aku kan jadi sendiri gampang mati lain kali betulin itu biar sepuasnya atau alasannya ""nanti musuh bisa recall lagi dan nanti gabisa menang""iya itu bener tapi kasih 3 kesempatan untuk recall temen biar menang kan kalo aku yang mati yang susah aku udah naikin ke gold malah turun kesilver Lagi naikin lagi turun lagi";3
Versi terbarunya sangat meresahkan, Knapa ya,gyro saya aktif tapi klau udah di dalam game nga bisa gyronya. Pokonya versi terbarunya pubg kebanyakan ngebug. Hanya itu dari saya cukup sekian dan terimakasih.;4
Semakin update semakin tidak jelas dan bug yg tidak kunjung diperbaiki, masalah jaringan lah, frame parah lah, makin berat makin g asik lagi sekarang pubg g kayak dulu lagi masih rame yg main, good bye PUBG;1
saya sagat suka gem ini lebih puas bermain , apalagi kalau jaringan yang sangat mendukung, bisa selalu ciken, dari pada brmain domino kalau di mainkan tidak pernah mengasi kemenagan, yang ada cuma menghabis kan uang untuk belik cip.;5
Sebelum update dan sesudah update, selalu ada bug fps drop/fps tidak stabil , game ini memiliki banyak bug di setiap pembaruan. Menjengkelkan!!;1
Ini game knapa ya jaringan nya sering eror di coba game sebelah lancar ajh tiktok juga ga ada kendala, tapi knapa pas maen ini game selalu merah jaringannya terus ada bacaan SERVER TIDAK MERESPON, tolong dong admin perbaiki, klo udh lancar jaya saya kasih bintang 5 deh??;3
Game cacat, pertama saya update 800mb, setelah update tidak bisa login, saya hapus uninstal saya dowload lagi 800 mb, setelah download minta di update 800 mb, setelah update tetap tidak bisa login, saya sudah menghabiskan data sekitar 5 gb download dan update tetap saja tidak bisa login, saya sudah mengeluarkan banyak uang untuk satu game ini;1
Wow hape ku Samsung note 10+ sangat lancar bermain ini, walaupun berkali-kali update tetap saja lancar tidak lag, pokoknya semua mentok kanan. Ditambah ada WiFi rumah yang sangat kencang seperti bermain di warnet setiap hari .sangat puass. Untuk Tencent terus lakukan update yang besar besaran agar SEMUA KALANGAN DAPAT BERMAIN PUBG MOBILE DENGAN LANCAR;4
"Gak bisa login sama sekali,padahal jaringan lancar,pas login ad tulisan eror nya trs d suruh kembali lgi dri awal,dri semalam gua gak bisa main gara"" ini,udah uninstal trs instal tetep gak bisa,game rusak";1
Tolong jangan event aja di perbanyak..bug nya juga di perbaiki..keluar sendiri gak bisa masuk in game lagi..mic aktif gak ada suaranya..gak bisa lari cuma jalan santai aja..di repot gak ada respon..;4
Sangat tidak puass Dari pada mikirin event, skin, xsuit yg tidak ada henti hentinya lebih baik pikirkan game play real, karna apaa, untuk srang2 PUBG skin senjata uda mulai kaya FF keliatan kartun nya, jdi kurang menarik, lebih real ada mode malam nya kaya season dulu, ppkonya season dulu tak tergantikan, yg ga kaya PUBG sekrang skin senjata, dah kaya film KARTUN, jauh dri nyata, Ayo para player pUBG kasih bintang 1 biar ini game di hapus dari play store lahh,,, game tdk mmikirkan kalangaN;1
Tolong kepada develop pubg mobile, untuk pengguna yg menggunakan bug yg merugikan org lain langsung diblok aja dari awal masa iya menunggu laporan dulu, pengecut skali, kalo emg skill gamumpuni uda gausah main, cari game yg lain, tolol dipelihara... Pengecut banget sih yg main pakai² bug, kita yg kesel tau gasih... Tolong untuk developer... Diperbaiki sgala keadaannya..;1
Tolong lah Developer PUBG, saya baru come back ke pubg malah server tidak merespon trus, di uninstal trus instal lagi tetep aja nga bisa. Mohon bantuannya demi kenyamanan pengalaman bermaen saya??;3
Saran dari saya, daripada nambah map baru terus dan tak terpakai semua, mending map-map lama erenggel dan miramar di tingkatkan lagi nambah misal pulau baru di erenggel, bangunan baru dan di miramar tambah lagi bangunannya. Tambah senjata anti tank kornet, claymore.;4
Tolong fix bug!!! Masa jaringan oke ga ada masalah sama sekali tapi jalan patah² Keluar match abis itu normal,eh pas masuk match berikutnya malah patah² lagi jalannya Mohon segera di fix ??;2
Game nya seru seperti perang real di dunia nyata dan minim banget bug, dan jika pun ada bug nya langsung di tindak lanjuti oleh pihak game nya cepat banget.. Bintang 5 dah pokoknya;5
keren abisss...., makin lama makin gk mendukung server nya, di setiap ada orang pasti nge lag, nembak kga gk mau brendet, damage jga gk sakit.... tinggal liat pembaruan berikutnya, kalau masih parah ada kemungkinan banyak player yang kecewa....;2
Game yang selalu jadi pemenang dalam rating gameplay battleground dengan graphics yang realistic dan gameplay yang selalu menarik dengan event yang selalu update setiap seasonnya dan banyak skin senjata yang bagus dan menarik;5
"Saya tidak dapat login menggunakan akun Google kedalam game ini, ketika saya mencoba login selalu muncul tulisan bertuliskan ""System error occurred. Login failed (12). Tolong berikan solusi secepatnya bagi saya!";1
saya kecewa karena pubg tidak seperti dulu lagi. terlalu berlebihan dan semakin banyak bug dalam game. saya sudah memainkan game ini sejak awal rilis. sudah 5 tahun. tapi semakin lama semakin mengecewakan. terlalu banyak bug. bangunan yg terlalu banyak yg tidak ada manfaat nya.;1
Sudah satu tahun lebih saya bermain game pubg ini dan saya merasa senang walau pun device kurang memadai tapi semakin kesini semakin lancar dan ini game battle ground favorit sih jadi lima bintang dan tolong kembangkan jauh lebih baik lagi;5
"semenjak krafton ambil alih banyak skali terjadi maslaah"" bug di in game terutama pada jaringan.. lagi main kok tiba-tiba afk sih padahal jaringan normal"" aja tes buka youtobe buka facebook nonton lancar kok di pubg ngeleg sih tolong di perbaiki masalah bugnya satu lagi fremdrobnya parah banget.. hpku sangat mempunyi main pubg grafisnya bisa sampe HDRultra tapi kok ingamenya ngefrem tolong di perbaikilah";3
"Setiap mw pembaruan terlalu besar ramnya.jadi tolong di kecilkan lagi....klo gini terus nanti gak ada yg main. Hmmm apa an baru masuk sudah keluar "" Game gak jelas";1
Maaf,tolong perbaiki serper nya,saat main ping nya lbih suka merah,kalo main game lain lancar aja,mana item suka ilang² ga jelas,tolong di perbaiki lagi,ini sangat merugikan;2
Tolong semoga mudah penyimpanan nya soalnya suka penuh padahal cuma sedikit di donwloands nya dan saya suka game ini semoga di kurangin lqgi bug bug nya sperti melayang kayak di lagi padahal udah turun ke bawah;3
Kenapa saya tidak bisa update lagi, selalu saja ngulang dan ngulang kalo mau update, harus uninstall terus download lagi, Kouta saya terkuras game sialan ini, tolong di tanggapi hal ini, karena sangat merugikan player dan mengurangi banyak player PUBG.;1
Game rusak, aku tak butuh booot cuma butuh ping yg stabil bukan ping 400 atau 667 ... Device memadai tower sinyal dekat rumah, youtube lancar donload 17mb/d .. Main event di pubg ping diatas 500 pas lawan boot ping 20..kocak game rusak... Ram 8/257 Snapdragon 8gen1..makasih semoga rating nya makin menurun;1
Rating 1 aja. Soalnya td pas LG di lobi tiba2 kembali ke login FB. Sampek sekarang ga bisa masuk. Pas mw login pasti dengan sendirinya mental ke Facebook chrom.. mohon di perbaiki;1
Krafton sekarang pelit, setiap gaca gak pernah dapet skin permanent udah habis puluhan kupon biar dapet glacier gak dapat dapat. Gak kaya dulu gampang dapet skin permanent yang bagus. Kadang masih suka ngebug senjata;4
Kenapa beberapa hari ini server nya selalu tinggi padahal jaringan normal sampai gak bisa main karna Pong tiinggi terus , sudah restart, mode pesawat tetep aja Ping nya tinggi terus padahal jaringan normal;1
kalau bisa di perbaiki bug nya karena setiap kali klo bermain kadang karakternya itu cacat dan gambarnya sering terlihat buram ??????;5
